Date,Price,Open,High,Low,Vol.,Change %
2019-04-02,22000,21800,22300,21500,174.48K,2.33%
2019-04-03,22400,22000,22700,21950,162.65K,1.82%
2019-04-04,22150,22400,22600,21850,153.51K,-1.12%
2019-04-05,22100,22450,22500,22000,72.32K,-0.23%
2019-04-08,21850,22000,22350,21800,62.88K,-1.13%
2019-04-09,21700,21850,22200,21700,80.88K,-0.69%
2019-04-10,21700,21600,22500,21300,40.51K,0.00%
2019-04-11,21250,21700,21700,21150,62.75K,-2.07%
2019-04-12,21050,21250,21250,21000,22.41K,-0.94%
2019-04-16,20850,21050,21050,20600,28.02K,-0.95%
2019-04-17,20500,20700,21000,20300,45.28K,-1.68%
2019-04-18,20400,20500,20900,20250,63.15K,-0.49%
2019-04-19,20550,20800,20800,20350,5.60K,0.74%
2019-04-22,20950,20800,21150,20750,98.89K,1.95%
2019-04-23,20700,21000,21000,20700,50.62K,-1.19%
2019-04-24,20600,20700,20900,20450,42.61K,-0.48%
2019-04-25,20300,20500,20600,20300,33.99K,-1.46%
2019-04-26,20400,20300,20600,20300,49.01K,0.49%
2019-05-02,20300,20500,20500,20250,12.34K,-0.49%
2019-05-03,20250,20300,20400,20150,30.69K,-0.25%
2019-05-06,18850,20250,20250,18850,48.37K,-6.91%
2019-05-07,19950,19000,19950,19000,59.98K,5.84%
2019-05-08,20200,19600,20300,19550,23.50K,1.25%
2019-05-09,20150,20200,20300,19550,19.61K,-0.25%
2019-05-10,20150,19750,20300,19750,11.16K,0.00%
2019-05-13,19950,20000,20000,19650,56.30K,-0.99%
2019-05-14,19600,19950,20000,19600,49.48K,-1.75%
2019-05-15,19900,19600,20100,19500,38.70K,1.53%
2019-05-16,19550,19900,20000,19500,65.37K,-1.76%
2019-05-17,19750,19450,19750,19100,95.57K,1.02%
2019-05-20,19500,19750,19800,19500,97.78K,-1.27%
2019-05-21,19400,19500,19600,19300,60.35K,-0.51%
2019-05-22,19400,19350,19400,19250,42.05K,0.00%
2019-05-23,19300,19400,19400,18950,66.99K,-0.52%
2019-05-24,19200,19050,19300,18950,14.99K,-0.52%
2019-05-27,19100,19200,19300,18900,34.54K,-0.52%
2019-05-28,18700,18900,19200,18700,35.79K,-2.09%
2019-05-29,19150,18700,19150,18700,38.06K,2.41%
2019-05-30,19050,19100,19250,19050,27.58K,-0.52%
2019-05-31,19700,19100,20000,19050,88.58K,3.41%
2019-06-03,19400,19700,19900,19400,116.42K,-1.52%
2019-06-04,19100,19400,19500,19100,32.61K,-1.55%
2019-06-05,19000,19050,19350,18850,62.00K,-0.52%
2019-06-06,19000,18800,19200,18800,34.87K,0.00%
2019-06-07,18800,19000,19000,18800,39.08K,-1.05%
2019-06-10,18950,19000,19000,18800,46.95K,0.80%
2019-06-11,18900,19000,19000,18900,45.96K,-0.26%
2019-06-12,19000,18950,19050,18900,59.68K,0.53%
2019-06-13,19000,19000,19400,19000,117.87K,0.00%
2019-06-14,19000,19000,19050,18900,82.12K,0.00%
2019-06-17,19000,19000,19350,18900,70.09K,0.00%
2019-06-18,19000,19000,19000,18850,16.07K,0.00%
2019-06-19,18900,19000,19000,18900,18.00K,-0.53%
2019-06-20,18900,18850,18950,18600,37.37K,0.00%
2019-06-21,18700,18900,18900,18600,21.88K,-1.06%
2019-06-24,18750,18800,18800,18600,19.56K,0.27%
2019-06-25,19000,18800,19000,18800,17.74K,1.33%
2019-06-26,19500,19200,19700,19200,97.30K,2.63%
2019-06-27,19100,19500,19600,19100,32.36K,-2.05%
2019-06-28,19200,19400,19400,19100,18.85K,0.52%
2019-07-01,19200,19400,19400,19100,15.45K,0.00%
2019-07-02,19050,19200,19200,19000,11.35K,-0.78%
2019-07-03,19000,19100,19100,18800,65.13K,-0.26%
2019-07-04,19000,19000,19200,18900,13.18K,0.00%
2019-07-05,19000,19000,19150,18900,22.55K,0.00%
2019-07-08,18950,19000,19000,18800,31.16K,-0.26%
2019-07-09,18800,18900,18950,18750,14.63K,-0.79%
2019-07-10,18750,18800,18900,18600,45.74K,-0.27%
2019-07-11,18900,18750,18900,18700,35.47K,0.80%
2019-07-12,18900,18800,18950,18800,29.41K,0.00%
2019-07-15,19000,18900,19000,18750,19.17K,0.53%
2019-07-16,18850,19000,19000,18850,17.03K,-0.79%
2019-07-17,19000,18900,19000,18700,104.01K,0.80%
2019-07-18,19000,18950,19000,18800,38.41K,0.00%
2019-07-19,18750,19000,19000,18750,29.55K,-1.32%
2019-07-22,19000,19200,19700,19000,348.38K,1.33%
2019-07-23,19000,19400,19400,18900,58.24K,0.00%
2019-07-24,19000,19200,19200,18950,31.68K,0.00%
2019-07-25,18950,18850,19050,18600,90.23K,-0.26%
2019-07-26,18750,19000,19000,18700,82.53K,-1.06%
2019-07-29,16481,16437,16569,16393,76.83K,-12.10%
2019-07-30,16481,16569,16569,16393,68.03K,0.00%
2019-07-31,16350,16481,16481,16350,53.73K,-0.79%
2019-08-01,16218,16350,16393,16218,56.86K,-0.81%
2019-08-02,16043,16218,16218,15780,81.80K,-1.08%
2019-08-05,15780,15911,16043,15780,45.93K,-1.64%
2019-08-06,15692,15429,15692,15429,62.13K,-0.56%
2019-08-07,16043,15780,16043,15692,43.15K,2.24%
2019-08-08,15604,16043,16043,15517,23.51K,-2.74%
2019-08-09,15604,15604,15780,15561,46.49K,0.00%
2019-08-12,15780,15604,15780,15604,37.49K,1.13%
2019-08-13,15780,15780,15867,15561,60.17K,0.00%
2019-08-14,16130,15955,16218,15780,65.81K,2.22%
2019-08-15,16043,15867,16043,15824,18.60K,-0.54%
2019-08-16,16525,16043,16700,16043,159.52K,3.00%
2019-08-19,16656,16788,17051,16481,115.07K,0.79%
2019-08-20,16656,16656,16832,16525,62.60K,0.00%
2019-08-21,16569,16481,16656,16437,83.59K,-0.52%
2019-08-22,16262,16481,16700,16262,90.69K,-1.85%
2019-08-23,16174,16218,16306,16043,81.45K,-0.54%
2019-08-26,16393,16043,16393,15867,74.79K,1.35%
2019-08-27,17533,16306,17533,16306,638.60K,6.95%
2019-08-28,18760,18234,18760,18234,305.34K,7.00%
2019-08-29,20031,19944,20031,19900,464.46K,6.78%
2019-08-30,19199,20338,21127,19199,611.91K,-4.15%
2019-09-03,18585,19286,19374,18059,345.89K,-3.20%
2019-09-04,18673,18103,18717,17708,200.87K,0.47%
2019-09-05,18585,18234,19023,18234,93.94K,-0.47%
2019-09-06,18059,18497,18585,17971,60.19K,-2.83%
2019-09-09,18234,17971,18585,17971,102.09K,0.97%
2019-09-10,17971,18322,18585,17884,88.34K,-1.44%
2019-09-11,17884,17971,18059,17095,115.13K,-0.48%
2019-09-12,17095,17445,17884,17051,180.68K,-4.41%
2019-09-13,17533,17095,17621,17095,65.56K,2.56%
2019-09-16,17445,17533,17621,17095,92.16K,-0.50%
2019-09-17,18629,17445,18629,17358,263.69K,6.79%
2019-09-18,18585,19023,19199,18585,108.38K,-0.24%
2019-09-19,17971,18410,18585,17971,51.71K,-3.30%
