Date,Price,Open,High,Low,Vol.,Change %
2020-03-09,78600,79000,80900,78600,1.21M,-6.98%
2020-03-10,79900,78000,79900,75400,1.43M,1.65%
2020-03-11,77000,80400,80400,74400,1.81M,-3.63%
2020-03-12,71700,72000,73000,71700,1.58M,-6.88%
2020-03-13,71000,66700,73000,66700,1.86M,-0.98%
2020-03-16,67100,71000,71000,66500,1.02M,-5.49%
2020-03-17,67500,63600,67500,63600,1.36M,0.60%
2020-03-18,69300,68000,70700,68000,1.10M,2.67%
2020-03-19,66000,67300,68700,66000,1.19M,-4.76%
2020-03-20,61500,66000,66300,61500,2.76M,-6.82%
2020-03-23,57200,57600,58500,57200,1.88M,-6.99%
2020-03-24,58000,57200,58400,56600,1.50M,1.40%
2020-03-25,62000,60000,62000,59700,1.84M,6.90%
2020-03-26,63200,62000,64700,61500,1.48M,1.94%
2020-03-27,64100,63300,65900,62500,1.57M,1.42%
2020-03-30,61000,60100,61400,59800,1.64M,-4.84%
2020-03-31,62000,61500,64100,60000,957.50K,1.64%
2020-04-01,65000,61500,65900,61500,1.23M,4.84%
2020-04-03,65500,65000,66300,64000,1.73M,0.77%
2020-04-06,68000,67500,68300,66000,2.11M,3.82%
2020-04-07,68200,68000,69000,66800,1.77M,0.29%
2020-04-08,67500,67000,68200,66800,1.78M,-1.03%
2020-04-09,71000,68000,72000,68000,1.80M,5.19%
2020-04-10,70600,71000,71900,69600,1.60M,-0.56%
2020-04-13,70800,70600,71800,70000,1.05M,0.28%
2020-04-14,69900,70500,70800,67800,1.94M,-1.27%
2020-04-15,70900,69700,71300,69700,1.02M,1.43%
2020-04-16,71200,70000,71200,69800,1.06M,0.42%
2020-04-17,71400,71500,71800,70900,1.47M,0.28%
2020-04-20,71900,71700,72400,70800,1.03M,0.70%
2020-04-21,71500,71000,71500,67800,2.16M,-0.56%
2020-04-22,69300,69000,71100,69000,1.61M,-3.08%
2020-04-23,69200,71000,71000,68800,1.20M,-0.14%
2020-04-24,68900,69200,69600,67500,972.17K,-0.43%
2020-04-27,66800,69900,69900,66800,2.55M,-3.05%
2020-04-28,67000,66800,68500,65200,2.05M,0.30%
2020-04-29,68000,67000,68100,67000,1.52M,1.49%
2020-05-04,67400,68000,68100,66800,852.26K,-0.88%
2020-05-05,66800,67300,67700,66800,1.01M,-0.89%
2020-05-06,67600,67300,67700,66500,855.77K,1.20%
2020-05-07,69700,67800,69700,67700,1.94M,3.11%
2020-05-08,73500,70000,74200,69800,3.87M,5.45%
2020-05-11,74500,73500,74500,72500,1.70M,1.36%
2020-05-12,75600,74600,76000,74400,2.20M,1.48%
2020-05-13,75600,75600,76500,72000,1.85M,0.00%
2020-05-14,76000,75000,76400,74900,2.12M,0.53%
2020-05-15,76000,76400,76500,75600,1.60M,0.00%
2020-05-18,78500,76300,79000,75800,1.00M,3.29%
2020-05-19,79000,79900,80100,78800,1.13M,0.64%
2020-05-20,79600,78400,79700,78400,710.20K,0.76%
2020-05-21,81200,80000,81200,79600,1.43M,2.01%
2020-05-22,81000,81200,81300,80000,805.71K,-0.25%
2020-05-25,81100,80900,81300,80800,708.71K,0.12%
2020-05-26,82500,81000,82600,81000,740.93K,1.73%
2020-05-27,82900,83000,84400,82900,817.77K,0.48%
2020-05-28,84500,83000,85100,83000,1.85M,1.93%
2020-05-29,85200,85000,86000,84500,1.16M,0.83%
2020-06-01,86500,85500,86700,85500,725.31K,1.53%
2020-06-02,86600,86900,86900,86300,1.01M,0.12%
2020-06-03,87900,87000,87900,86900,462.75K,1.50%
2020-06-04,89000,88000,89000,88000,450.24K,1.25%
2020-06-05,89000,89100,89300,87000,810.57K,0.00%
2020-06-08,89400,89000,90200,88400,802.24K,0.45%
2020-06-09,89500,89900,90000,89400,417.69K,0.11%
2020-06-10,89600,89500,89800,89300,793.59K,0.11%
2020-06-11,88000,89500,89600,87000,1.16M,-1.79%
2020-06-12,85600,82500,86500,82500,1.61M,-2.73%
2020-06-15,82000,85600,85800,81800,1.22M,-4.21%
2020-06-16,83700,84000,84000,82400,802.98K,2.07%
2020-06-17,84200,85000,85200,83800,737.83K,0.60%
2020-06-18,85000,84000,86500,83900,1.81M,0.95%
2020-06-19,85400,85000,86000,85000,723.97K,0.47%
2020-06-22,85500,85000,85600,85000,1.31M,0.12%
2020-06-23,86000,85500,87000,85300,917.23K,0.58%
2020-06-24,84700,86000,86000,84100,710.16K,-1.51%
2020-06-25,83700,82700,84400,82700,506.65K,-1.18%
2020-06-26,83300,84100,84700,83000,355.93K,-0.48%
2020-06-29,81500,83300,83300,81100,594.14K,-2.16%
2020-06-30,80300,82500,82500,80000,709.99K,-1.47%
2020-07-01,82700,80300,82700,80000,404.44K,2.99%
2020-07-02,82600,83200,83200,81000,469.04K,-0.12%
2020-07-03,83000,82500,83300,82200,370.34K,0.48%
2020-07-06,82900,83000,83400,82400,1.22M,-0.12%
2020-07-07,83400,84000,84200,83300,1.34M,0.60%
2020-07-08,83000,83200,83400,82800,485.19K,-0.48%
2020-07-09,83600,83900,83900,83300,962.17K,0.72%
2020-07-10,82700,83400,83600,82100,918.56K,-1.08%
2020-07-13,82900,83400,83500,82400,371.63K,0.24%
2020-07-14,83000,82900,83000,82200,427.11K,0.12%
2020-07-15,83500,83200,83800,83200,1.20M,0.60%
2020-07-16,83500,83800,83900,82900,1.09M,0.00%
2020-07-17,82800,83600,83600,82800,628.00K,-0.84%
2020-07-20,82200,82500,82700,81700,696.83K,-0.72%
2020-07-21,82500,82500,82800,81700,681.74K,0.36%
2020-07-22,82500,82500,82500,82200,625.32K,0.00%
2020-07-23,82500,82500,82800,82100,1.35M,0.00%
