Date,Price,Open,High,Low,Vol.
2020-06-05,886.22,883.40,886.59,878.50,499.61K
2020-06-08,899.92,888.70,905.65,888.70,572.02K
2020-06-09,899.43,902.26,904.89,898.87,501.73K
2020-06-10,900.00,898.78,902.69,890.30,542.87K
2020-06-11,867.37,900.48,903.70,867.37,707.46K
2020-06-12,863.52,841.85,863.52,841.44,620.77K
2020-06-15,832.47,867.52,868.16,832.47,708.24K
2020-06-16,856.13,848.86,858.70,844.67,412.45K
2020-06-17,854.44,861.05,861.05,852.27,354.84K
2020-06-18,855.27,850.92,858.03,847.49,280.31K
2020-06-19,868.56,857.77,868.56,857.77,440.09K
2020-06-22,871.28,871.56,872.94,867.37,350.37K
2020-06-23,868.20,871.12,873.20,864.02,455.36K
2020-06-24,859.71,868.20,873.13,857.58,370.92K
2020-06-25,854.59,851.09,856.23,849.65,312.30K
2020-06-26,851.98,859.07,862.59,850.66,300.39K
2020-06-29,829.36,846.26,846.53,826.00,389.64K
2020-06-30,825.11,836.72,840.31,821.92,358.39K
2020-07-01,843.49,827.67,844.26,826.38,303.55K
2020-07-02,842.38,845.66,845.66,838.48,223.80K
2020-07-03,847.61,845.26,848.16,843.25,203.00K
2020-07-06,861.16,851.47,861.85,850.04,215.09K
2020-07-07,863.42,865.46,870.63,863.42,330.90K
2020-07-08,864.50,861.75,865.58,859.98,237.54K
2020-07-09,876.46,867.66,878.36,867.45,306.08K
2020-07-10,871.21,873.70,878.53,867.59,291.11K
2020-07-13,868.72,874.85,876.83,866.99,246.07K
2020-07-14,868.11,865.01,868.11,860.28,239.14K
2020-07-15,869.91,872.80,876.69,869.91,258.29K
2020-07-16,876.83,871.81,876.83,869.25,243.47K
2020-07-17,872.02,873.48,875.07,871.89,270.68K
2020-07-20,861.40,870.66,871.64,861.40,285.08K
2020-07-21,861.69,863.94,864.70,856.94,245.41K
2020-07-22,855.08,862.80,864.00,854.97,278.60K
2020-07-23,856.75,854.92,857.22,851.97,240.50K
2020-07-24,829.16,854.23,854.57,816.65,505.10K
2020-07-27,785.17,794.14,808.74,780.64,422.71K
2020-07-28,813.36,786.72,814.40,786.67,328.49K
2020-07-29,790.84,800.39,800.39,779.82,362.09K
2020-07-30,801.13,796.22,802.97,794.88,188.95K
2020-07-31,798.39,787.78,803.55,786.98,249.63K
2020-08-03,814.65,796.86,814.84,796.47,298.14K
2020-08-04,827.57,822.86,827.57,820.20,277.45K
2020-08-05,837.80,827.54,839.52,820.74,306.64K
2020-08-06,840.04,838.01,844.16,833.56,257.02K
2020-08-07,841.46,840.65,844.33,836.84,259.89K
2020-08-10,843.20,845.11,849.52,843.20,309.30K
2020-08-11,843.08,847.61,847.61,840.35,249.00K
2020-08-12,846.92,844.19,848.54,842.88,272.49K
2020-08-13,855.05,849.96,855.19,849.86,256.25K
2020-08-14,850.74,854.29,860.32,848.38,304.71K
2020-08-17,850.15,848.08,852.05,841.62,237.51K
2020-08-18,846.43,850.15,851.06,845.00,227.51K
2020-08-19,851.21,847.19,853.15,846.22,240.15K
2020-08-20,848.21,851.21,856.99,847.44,285.69K
2020-08-21,854.78,849.99,856.45,849.69,286.82K
2020-08-24,868.68,860.35,868.68,860.35,381.52K
2020-08-25,874.12,870.92,877.57,870.92,399.07K
2020-08-26,873.47,873.62,876.97,871.78,352.38K
2020-08-27,874.71,872.38,875.71,871.93,325.72K
2020-08-28,878.98,878.79,885.86,877.70,398.32K
2020-08-31,881.65,882.13,888.44,879.26,352.65K
2020-09-01,891.73,882.40,892.51,880.79,317.00K
2020-09-03,903.97,898.25,904.32,896.26,370.49K
2020-09-04,901.54,896.02,903.11,893.86,346.44K
2020-09-07,888.25,903.85,905.80,888.25,434.06K
2020-09-08,890.14,891.61,894.58,884.88,294.02K
2020-09-09,889.32,883.68,892.40,881.57,318.44K
2020-09-10,888.82,895.29,896.78,888.82,387.24K
2020-09-11,888.97,888.82,890.98,884.67,309.91K
2020-09-14,894.57,891.89,895.31,891.89,364.43K
2020-09-15,896.26,896.61,898.74,894.66,381.80K
2020-09-16,897.47,897.43,897.58,894.63,290.43K
2020-09-17,894.04,897.47,899.41,890.93,395.46K
2020-09-18,900.95,896.08,902.11,895.82,361.84K
2020-09-21,907.94,904.50,909.78,904.50,403.44K
2020-09-22,906.19,905.90,909.69,902.47,401.41K
2020-09-23,912.50,908.97,913.52,908.97,392.51K
2020-09-24,908.58,910.53,914.51,907.32,398.46K
2020-09-25,908.27,910.78,911.30,905.56,361.23K
2020-09-28,912.50,911.20,913.60,910.04,420.24K
2020-09-29,903.98,916.63,917.49,903.98,465.36K
2020-09-30,905.21,904.34,907.00,900.44,340.69K
2020-10-01,914.09,910.13,914.09,909.13,352.45K
2020-10-02,909.91,914.09,916.67,897.72,527.16K
2020-10-05,914.68,913.77,915.55,910.96,456.10K
2020-10-06,915.67,918.11,918.93,912.77,496.13K
2020-10-07,919.72,913.62,923.57,912.69,523.96K
2020-10-08,918.84,922.08,922.08,913.89,470.30K
2020-10-09,924.00,919.48,924.00,917.70,388.13K
2020-10-12,925.83,930.78,933.13,923.28,457.23K
2020-10-13,929.86,926.76,930.96,923.78,359.02K
2020-10-14,940.18,931.89,940.18,931.89,474.92K
2020-10-15,942.76,945.28,945.93,938.70,470.51K
2020-10-16,943.30,944.03,946.23,935.98,443.33K
2020-10-19,943.69,945.01,946.29,941.92,389.47K
2020-10-20,944.42,941.00,944.54,937.32,444.33K
2020-10-21,939.03,947.16,948.20,939.00,412.65K
2020-10-22,949.90,938.06,949.90,933.78,365.12K
2020-10-23,961.26,953.45,961.26,953.14,452.49K
2020-10-26,950.80,967.52,970.15,950.80,428.25K
2020-10-27,946.47,950.80,954.72,946.28,455.85K
2020-10-28,921.05,942.82,946.91,921.05,456.06K
2020-10-29,919.08,916.49,925.84,914.33,436.13K
2020-10-30,925.47,925.41,926.32,911.20,312.75K
2020-11-02,933.68,926.09,933.68,924.14,297.60K
